country,Region,SurfaceArea,Population,PopulationDensity,SexRatio,GDP,GDPGrowthRate,GDPPerCapita,EconomyAgriculture,EconomyIndustry,EconomyOther,Unemployment,Exports,Imports,PopulationGrowthRate,UrbanPopulation,UrbanPopulationGrowthRate
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,8.6,1458,3568,3.2,26.7,4
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,15.8,1962,4669,-0.1,57.4,2.2
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,11.4,29992,47091,2,70.7,2.8
American Samoa,Polynesia,199,56,278.2,103.6,-99,-99,-99,-99,-99,-99,0,-99,-99,0,87.2,-0.1
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,-99,100,1355,-1.6,85.1,0.1
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,6.6,21011,8790,3.5,44.1,5
Anguilla,Caribbean,91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82,0,2,154,1.2,100,1.2
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,0,61,491,1.1,23.8,-0.9
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,6.5,57733,55610,1,91.8,1
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,16.6,1776,3230,0.3,62.7,-0.1
Aruba,Caribbean,180,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,84.1,0,95,1117,0.5,41.5,-0.3
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,5.5,189630,189406,1.5,89.4,1.5
Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,6.2,145503,149299,0.6,66,0.4
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,5.2,9143,8532,1.3,54.6,1.6
Bahamas,Caribbean,13940,395,39.5,95.9,8854,-1.7,22817.2,1.6,12.7,85.7,14.7,365,2904,1.4,82.9,1.5
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,2.9,22600.2,0.3,40.7,59,1.3,12892,14749,2,88.8,1.7
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,6.6,1207.9,15.5,28.1,56.3,4,36031,52624,1.2,34.3,3.6
Barbados,Caribbean,431,286,664.5,91.9,4385,0.9,15429.4,1.7,12.1,86.2,11.3,517,1621,0.3,31.5,0.1
Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,7.5,38.9,53.6,0.5,23414,27464,0,76.7,0
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,8.3,398033,372713,0.6,97.9,0.5
Belize,CentralAmerica,22966,375,16.4,99.2,1721,1.2,4789.4,14.6,18.5,66.9,11.5,246,952,2.2,44,1.9
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,1,410,2630,2.8,44,3.7
Bermuda,NorthernAmerica,53,61,1227,91.4,5853,0.4,94399.9,0.7,5.3,94,6.7,8,971,-0.6,100,0.2
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,2.4,616,1688,1.6,38.6,3.7
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,3.8,6969,8374,1.6,68.5,2.3
"Bonaire, Sint Eustatius and Saba",Caribbean,-99,25,77.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.2,74.7,2.4
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,7.3,26.5,66.2,25.4,5327,9130,-1,39.8,0.1
Botswana,SouthernAfrica,582000,2292,4,97.7,14391,-0.3,6360.6,2.4,33.4,64.2,18.6,7321,6103,1.8,57.4,1.3
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,12.4,185235,137552,0.9,85.7,1.2
